Comment,Description,Designator,Footprint,LibRef,Quantity,Supplier 1,Supplier Order Qty 1,Supplier Part Number 1

"Socket","Socket","-5V, -12V, 3V3, 5V, 12V, GND, SCL, SDA","CON1","Socket","8","Farnell","8","2301278"
"100nF","Capacitor Cer 50V 0805 Vishay X7R","C0, C2, C4","C0805","Ceramic 100nF/50V","3","Farnell","3","1612208"
"ECA-1HM100","Aluminum Electrolytic Capacitor, 10 uF, +/- 20%, 50 V, -40 to 85 degC, 2-Pin THD, RoHS, Bulk","C1, C3, C5","CAPPR55-200-1100X500X1200","CMP-1665-00038-1","3","Farnell","3","9693769"
"IN0","SMB Straight Connector","CHANNEL0, CHANNEL1, CHANNEL2, CHANNEL3, CHANNEL4, CHANNEL5, CHANNEL6, CHANNEL7","SMB","SMB","8","Farnell","8","1206013"
"LM2901PW","","comparator, comparator2","TSSOP-14","LM2901PW","2","Farnell","2","2295995"
"09 73 296 6801","Eurocard DIN 41612, Type R, 96 Position, Rows a+b+c, Performance level 2, Female, Lead 3.0 mm, Pitch 2.54 mm","connector1","0973296X801","09 73 296 6801","1","Farnell","1","1096942"
"1N4001-T","1.0 A Rectifier, 15 pF, 50 V, -65 to 150 degC, 2-Pin DO-41 Plastic, RoHS, Tape and Reel","D0","DIOD-DO-41-P-2_V","CMP-0639-00006-2","1","Farnell","1","1843694"
"DAC6578SPWR","10-Bit, Octal Channel, Ultra-Low Glitch, Voltage Output, 2-Wire Interface DAC, -40 to 125 degC, 16-pin SOP (PW16), Green (RoHS & no Sb/Br)","DAC","TI-PW16_N","CMP-0004-01130-1","1","Farnell","1","1854519"
"-","","GROUND","RA","Power","1","Farnell","1","1085521"
"+-5V","","IMM0212D05","SIP8","IMM0212D05","1","Farnell","1","2526539"
"+-12V","","IMM0212D12","SIP8","IMM0212D05","1","Farnell","1","2526540"
"3V3","","IMM0212S3V3","SIP8","Component_1","1","Farnell","1","2526545"
"LPC824M201JDH20J","32-bit ARM Cortex-M0+ Microcontroller, 16 I/O, 32 KB Flash, 8 KB SRAM, -40 to 105 degC, 20-Pin TSSOP, Reel, RoHS","LPC","NXP-SOT360-1_N","CMP-0173-00095-1","1","Farnell","1","2448376"
"+","","POWER","RA","Power","1","Farnell","1","1085521"
"2k-0W25-0805","Resistor","R0, R2, R4, R6, R8, R10, R12, R14","6-0805_N","1k-0W25-0805","8","Farnell","8","2057613"
"1k-0W25-0805","Resistor","R1, R3, R5, R7, R9, R11, R13, R15","6-0805_N","1k-0W25-0805","8","Farnell","8","1750754RL"
"Res4","Resistor","R16, R17","J1-0603","Res3","2","Farnell","2","2059601RL"
"Res3","Resistor","R18, R19, R20, R21, R22, R23, R24, R25","J1-0603","Res3","8","Farnell","8","2059611"
"TSM-110-01-S-DV","0.025" SQ Post Header, Surface Mount, Vertical, -55 to 125 degC, 2.54 mm Pitch, 20-Pin, Male, RoHS","SWD","SMTC-TSM-110-01-X-DV","CMP-1024-00283-1","1","Farnell","1","2055874"
"LM324AM","Low Power Quad Operational Amplifier, 14-pin Narrow SOIC","U1, U2","D0014A_N","CMP-0055-00794-3","2","Farnell","2","2450779"
"FT4232MM","FDTI mini module","USB","FT4232MM","FT4232MM","1","","",""
